№,product_name,sku,article,order_multiple,source_row
426,"S4000 Роз. с з/к 16А с/у з/ш с крышкой б/рамки""ATLAS"" белый  ATN146 (15)",300200700_,ATN000146,15.0,428
427,"S401 ТV роз. оконечная с/у б/рамки ""ATLAS"" белый ATN191 (10)",300200295_,ATN000191,10.0,429
428,"S402 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" белый ATN181 (10)",300200292_,ATN000181,5.0,430
429,"S403 ТЕРМОСТАТ для теп.пола с датч. с/у 16А ""ATLAS"" белый (1) ATN138",300200300_,ATN000138,1.0,431
430,"S404 USB розетка - 2 порта с/у б/рамки ""ATLAS"" белый (1) ATL133",300200312_,ATN000133,1.0,432
431,"S405 Рамка 1-ная ""ATLAS"" белый (45) ATN101",300200303_,ATN000101,45.0,433
432,"S406 Рамка 2-ная ""ATLAS"" белый (30) ATN102",300200304_,ATN000102,30.0,434
433,"S407 Рамка 3-ная ""ATLAS"" белый (15) ATN103",300200305_,ATN000103,15.0,435
434,"S408 Рамка 4-ная ""ATLAS"" белый (15) ATN104",300200306_,ATN000104,15.0,436
435,"S409 Рамка 5-ная ""ATLAS"" белый (5) ATN105",300200307_,ATN000105,5.0,437
436,"S410 Переключ. AQUA 1 кл 10А с/у б/рамки IP 44 ""ATLAS"" белый ATN0161 (20)",300200310_,ATN440161,20.0,438
437,"S411 Роз. AQUA с з/к 16А с/у з/ш c крышкой б/рамки IP 44 ""ATLAS"" белый ATN0146 (15)",300200311_,ATN440146,15.0,439
438,"S412 Рамка 1-ная AQUA IP 44 ""ATLAS"" белый ATN0101 (10)",300200308_,ATN440101,10.0,440
439,"S413 Рамка 2-ная AQUA IP 44 ""ATLAS"" белый ATN0102 (5)",300200309_,ATN440102,5.0,441
440,"S414 Выкл 1 кл  с/у 6А 250B ""BLANCA"" белый BLNVS006101 (60)",300200313_,BLNVS006101,10.0,442
441,"S414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" белый ATN165 (20)",300200498_,ATN000165,20.0,443
442,"S415 Адаптер 45 ""ATLAS"" белый ATN108  (15)",ATN000108,ATN000108,5.0,444
443,"S415 Выкл 2 кл  с/у 6А 250B ""BLANCA"" белый BLNVS006501 (60)",300200314_,BLNVS006501,10.0,445
444,"S416 Заглушка б/с ""ATLAS"" белый ATN109  (15)",ATN000109,ATN000109,5.0,446
445,"S416 Роз  с/у без з/к 16А 250В ""BLANCA""  белый BLNRS000011 (60)",300200315_,BLNRS000011,10.0,447
446,"S417 Перекрест. перекл. 2 кл 10А с/у б/рамки мех. ""ATLAS"" белый ATN173   (5) NEW",300200771_,ATN000173,5.0,448
447,"S417 Роз  2-ная  с/у без з/к 16А 250В ""BLANCA""  белый BLNRS000021 (36)",300200316_,BLNRS000021,6.0,449
448,"S418 Вывод кабеля механизм ""ATLAS"" белый ATN000199  (10)",300200959_,ATN000199,10.0,450
449,"S418 Роз  с/у с з/к 16А 250В ""BLANCA""  белый BLNRS001011 (60)",300200317_,BLNRS001011,10.0,451
450,"S419 Выкл. 1 кл с самовозвр. механизм ""ATLAS"" белый ATN000115 (5)",300200496_,ATN000115,5.0,452
451,"S419 Роз  с/у с з/к с штор. 16А 250В ""BLANCA"" белый BLNRS001111 (60)",300200346_,BLNRS001111,10.0,453
452,"S420 Роз  2-ная  с/у с з/к 16А 250В ""BLANCA""  белый BLNRS001021 (36)",300200318_,BLNRS001021,6.0,454
453,"S421 Роз  2-ная  с/у с з/к с штор. 16А 250В ""BLANCA"" белый BLNRS001121 (36)",300200347_,BLNRS001121,6.0,455
454,"S422 Выкл 1 кл  о/у 6А 250B ИЗОЛ.ПЛ. ""BLANCA""  белый BLNVA061011 (90)",300200319_,BLNVA061011,15.0,456
455,"S423 Выкл 2 кл  о/у 6А 250B ИЗОЛ.ПЛ. ""BLANCA""  белый BLNVA065011 (90)",300200320_,BLNVA065011,15.0,457
456,"S424 Роз  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000111 (108)",300200321_,BLNRA000111,18.0,458
457,"S425 Роз  2-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000211 (60)",300200322_,BLNRA000211,10.0,459
458,"S426 Роз  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010111 (72)",300200323_,BLNRA010111,12.0,460
459,"S427 Роз  2-ная  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010211 (48)",300200324_,BLNRA010211,8.0,461
460,"S428 Роз 3-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000311 (36)",300200325_,BLNRA000311,6.0,462
461,"S429 Роз 3-ная  о/у с з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA010311 (30)",300200326_,BLNRA010311,5.0,463
462,"S430 Роз 4-ная  о/у без з/к 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA000411 (30)",300200327_,BLNRA000411,5.0,464
463,"S431 Роз 4-ная  о/у с з/к со штор. 16А 250В ИЗОЛ.ПЛ. ""BLANCA"" белый BLNRA011411 (24)",300200328_,BLNRA011411,4.0,465
464,"S432 Звонок проводной  о/у ""BLANCA"" белый BLNZA000011 (48)",300200330_,BLNZA000011,8.0,466
465,"S433 Роз  2-ная  с/у с з/к с крыш. IP44 16А 250B ""BLANCA"" белый BLNRS441121 (30)",300200348_,BLNRS441121,5.0,467
466,"S434 Роз с/у компьютерная RJ45 кат.5Е ""BLANCA"" белый BLNIS045001 (60)",300200350_,BLNIS045001,10.0,468
467,"S435 Роз TV коннектор ""BLANCA"" белый BLNTS000011  (60)",300200352_,BLNTS000011,10.0,469
468,"А384 Выкл 1 кл 10А с/у ""ATLAS"" алюминий ATN312 (10)",300200430_,ATN000312,10.0,470
469,"А3844 Выкл 1 кл 10А механизм ""ATLAS"" алюминий ATN311 (10)",300200588_,ATN000311,10.0,471
470,"А385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" алюминий ATN313  (10)",300200443_,ATN000313,10.0,472
471,"А386 Выкл 2 кл 10А с/у ""ATLAS"" алюминий ATN352 (10)",300200432_,ATN000352,10.0,473
472,"А387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" алюминий ATN353 (10)",300200444_,ATN000353,10.0,474
473,"А388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN331 (10)",300200449_,ATN000331,10.0,475
474,"А389 Диммер поворотно-нажимной с/у б/рамки 315Вт ""ATLAS"" алюминий ATN334 (1) !!!",300200447_,ATN000334,1.0,476
475,"А390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" алюминий ATN383 (10)",300200433_,ATN000383,5.0,477
476,"А391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN361 (10)",300200439_,ATN000361,10.0,478
477,"А392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" алюминий ATN363  (10)",300200451_,ATN000363,10.0,479
478,"А393 Перекрест. переключ. 1 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN371 (5)",300200448_,ATN000371,5.0,480
479,"А3933 Перекрест. переключ. 2 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN373 (5) NEW",300200774_,ATN000373,5.0,481
480,"А394 Роз. 2-ная с/у 16А ""ATLAS"" алюминий ATN320 (6)",300200436_,ATN000320,6.0,482
481,"А395 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" алюминий ATN326 (6)",300200431_,ATN000326,6.0,483
482,"А396 Роз. 2-ная с/у 16А с з/к з/ш со сдвиж.крыш.""ATLAS"" алюминий ATN328 (6)",300200452_,ATN000328,6.0,484
483,"А397 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" алюминий ATN385 (10)",300200434_,ATN000385,5.0,485
484,"А399 Роз. с з/к 16А с/у з/ш ""ATLAS"" алюминий ATN344 (10)",300200429_,ATN000344,10.0,486
485,"А3999 Роз. без з/к без шторок 16А механизм ""ATLAS"" алюминий ATN341 (10)",300200632_,ATN000341,10.0,487
486,"А401 ТV роз. оконечная с/у б/рамки ""ATLAS"" алюминий ATN391(10)",300200441_,ATN000391,10.0,488
487,"А402 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" алюминий ATN381 (10)",300200450_,ATN000381,10.0,489
488,"А405 Рамка 1-ная ""ATLAS"" алюминий ATN301 (20)",300200435_,ATN000301,20.0,490
489,"А406 Рамка 2-ная ""ATLAS"" алюминий ATN302 (10)",300200437_,ATN000302,10.0,491
490,"А407 Рамка 3-ная ""ATLAS"" алюминий ATN303 (15)",300200438_,ATN000303,5.0,492
491,"А408 Рамка 4-ная ""ATLAS"" алюминий ATN304 (15)",300200440_,ATN000304,5.0,493
492,"А409 Рамка 5-ная ""ATLAS"" алюминий ATN305 (5)",300200445_,ATN000305,5.0,494
493,"А414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" алюминий ATN365 (10)",300200446_,ATN000365,10.0,495
494,"ВЫВОД КАБЕЛЯ, механизм ""ATLAS"" алюминий ATN399 !!!",ATN000399,ATN000399,10.0,496
495,"Выкл 1-кл, сх.1, 10АХ, механизм, шампань ""ATLAS""",300200592_,ATN000511,10.0,497
496,Выкл 2 кл 10А механизм жемчуг ATN000451,300200366_,ATN000451,10.0,498
497,Выкл 2 кл о/у 10А 250B белый BLANCA,LNVA105011,BLNVA105011,15.0,499
498,"Выкл 2-кл, сх.5, 10АХ, механизм, сталь ""ATLAS""",300200595_,ATN000951,5.0,500
499,"ВЫКЛЮЧАТЕЛЬ ""ХИТ""СУ 1КЛ. ИБЕЛ. VS16-135-B Shn.Elec. !!!",030200097_,VS16-135-B,20.0,501
500,К090 Роз. с з/к 16А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1243 (5),300200718_,ATN001243,5.0,502
501,К091 Роз. с з/к с з/ш 16А механизм ATLAS ПЕСОЧНЫЙ ATN1245 (5),300200719_,ATN001245,5.0,503
502,К092 Выкл 1 кл 10А с/у ATLAS ПЕСОЧНЫЙ ATN1212 (5),300200720_,ATN001212,5.0,504
503,К093 Выкл 1 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1213,300200721_,ATN001213,5.0,505
504,К094 Выкл 2 кл 10А с/у ATLAS ПЕСОЧНЫЙ ATN1252 (5),300200722_,ATN001252,5.0,506
505,"К0944 Выкл. 2 кл 10А б/рамки ""ATLAS"" ПЕСОЧНЫЙ ATN1251 (5) NEW",300200777_,ATN001251,5.0,507
506,К095 Выкл 2 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1253,300200723_,ATN001253,5.0,508
507,К096 Выкл 3 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1231 (5),300200724_,ATN001231,5.0,509
508,К097 Комп. роз. RJ45 5Е механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1283 (5),300200725_,ATN001283,5.0,510
509,К098 Переключ. 1 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1261 (5),300200726_,ATN001261,5.0,511
510,К099 Переключ. 1 кл с инд 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1263,300200727_,ATN001263,5.0,512
511,К100 Перекрест.переключ. 1 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1271 (5),300200728_,ATN001271,5.0,513
512,К101 Роз. 2-ная с/у 16А ATLAS ПЕСОЧНЫЙ ATN1220 (6),300200729_,ATN001220,6.0,514
513,К102 Роз. 2-ная с/у 16А с з/к з/ш ATLAS ПЕСОЧНЫЙ ATN1226 (6),300200730_,ATN001226,6.0,515
514,К103 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1285 (5),300200731_,ATN001285,5.0,516
515,К104 Роз. с з/к 16А с/у з/ш ATLAS ПЕСОЧНЫЙ ATN1244 (5),300200732_,ATN001244,5.0,517
516,"К1044 Роз. без з/к без с/ш 16А б/рамки ""ATLAS"" ПЕСОЧНЫЙ ATN1241 (5) NEW",300200778_,ATN001241,5.0,518
517,К105 ТV роз. оконечная с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1291 (5),300200733_,ATN001291,5.0,519
518,К106 Телефонная роз. RJ11 механизм б/рамки ATLAS ПЕСОЧНЫЙ ATN1281 (5),300200734_,ATN001281,5.0,520
519,К107 Рамка 1-ная ATLAS ПЕСОЧНЫЙ ATN1201 (10),300200735_,ATN001201,10.0,521
520,К108 Рамка 2-ная ATLAS ПЕСОЧНЫЙ ATN1202 (5),300200736_,ATN001202,5.0,522
521,К109 Рамка 3-ная ATLAS ПЕСОЧНЫЙ ATN1203 (5),300200737_,ATN001203,5.0,523
522,К110 Рамка 4-ная ATLAS ПЕСОЧНЫЙ ATN1204 (5),300200738_,ATN001204,5.0,524
523,К111 Выкл 1-кл о/у IP54 10А Atlas Profi 54 БЕЛЫЙ ATN540111 (12),300200742_,ATN540111,12.0,525
524,К111 Рамка 5-ная ATLAS ПЕСОЧНЫЙ ATN1205 (5),300200739_,ATN001205,5.0,526
525,К112 Выкл 2-кл о/у IP54 10А Atlas Profi 54 БЕЛЫЙ ATN540151 (12),300200743_,ATN540151,12.0,527
526,К112 Переключ. 2 кл 10А с/у б/рамки ATLAS ПЕСОЧНЫЙ ATN1265 (5),300200740_,ATN001265,5.0,528
527,К113 Выкл 1-кл сх.1 10АХ механизм ПЕСОЧНЫЙ ATLAS ATN1211 (5),300200741_,ATN001211,5.0,529
528,К113 Роз. з/к з/ш о/у IP54 16А 250В Atlas Profi 54 БЕЛЫЙ ATN540145 (12),300200744_,ATN540145,12.0,530
529,К114 Роз. 2-я з/к о/у IP54 16А Atlas Profi 54 БЕЛЫЙ ATN540126 (6),300200745_,ATN540126,6.0,531
530,К115 Перекл 1-кл о/у IP54 Atlas Profi 54 БЕЛЫЙ ATN540161 (12),300200746_,ATN540161,12.0,532
531,"К116 Роз,Выкл.2-кл з/к з/ш о/у IP54 16А Atlas Profi 54 БЕЛЫЙ ATN540174 (6)",300200747_,ATN540174,6.0,533
532,"К117 Роз,Выкл.1-кл з/к з/ш о/у IP54 16А Atlas Profi 54 БЕЛЫЙ ATN540170 (6)",300200748_,ATN540170,6.0,534
533,К118 Выкл 1-кл о/у IP54 Atlas Profi 54 АНТРАЦИТ ATN544011 (12),300200749_,ATN544011,12.0,535
534,К119 Выкл 2-кл о/у IP54 Atlas Profi 54 АНТРАЦИТ ATN544051 (12),300200750_,ATN544051,12.0,536
535,К120 Роз. з/к з/ш о/у IP54 16А 250В Atlas Profi 54 АНТРАЦИТ ATN544045 (12),300200751_,ATN544045,12.0,537
536,К121 Роз. 2-я з/к о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544026 (6),300200752_,ATN544026,6.0,538
537,К122 Перекл 1-кл о/у IP54 Atlas Profi 54 АНТРАЦИТ ATN544061 (12),300200753_,ATN544061,12.0,539
538,К123 Блок:Роз+выкл 2-кл з/к з/ш о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544074 (6),300200754_,ATN544074,6.0,540
539,К124 Блок:Роз+выкл 1-кл з/к з/ш о/у IP54 16А Atlas Profi 54 АНТРАЦИТ ATN544070 (6),300200755_,ATN544070,6.0,541
540,"КОРОБКА МОНТАЖН.С / У Д / СИЛ.РОЗЕТОК, ЗЕЛЕН",300200497_,BLNMK000001,2.0,542
541,Распределительная  коробка о/у  с сальниками  65х45 IP55 IMT35093 Systeme Electric (150),030200226_,IMT35093,150.0,543
542,Распределительная  коробка о/у  с сальниками  70х70х40 IP55 IMT35090 Systeme Electric (96),030200223_,IMT35090,96.0,544
543,Распределительная  коробка о/у  с сальниками  80х40 IP55 IMT35094 Systeme Electric (96),030200227_,IMT35094,96.0,545
544,Распределительная  коробка о/у  с сальниками  85х85х40 IP55 IMT35092 Systeme Electric (72),030200225_,IMT35092,72.0,546
545,Распределительная  коробка о/у  с сальниками 100х100х50 IP55 IMT35091 Systeme Electric (45),030200224_,IMT35091,45.0,547
546,Распределительная коробка с/у для полых стен г/к  80х45 IP20 IMT35160 Systeme Electric (120),030200221_,IMT35160,120.0,548
547,Распределительная коробка с/у для полых стен г/к 100х100х50 IP20 IMT35161 Systeme Electric (72),030200222_,IMT35161,72.0,549
548,Роз. 2-ная с з/к 16А в сборе жемчуг ATLASDESIGN !!!,300200473_,ATN000424,6.0,550
549,Роз. с з/к  со з/ш с крышкой 16А IP20 механизм жемчуг ATLASDESIGN,ATN000446,ATN000446,10.0,551
550,"РОЗЕТКА двойная комп+ТВ, RJ45+TV, кат.5E, механизм""ATLAS"" алюминий ATN389 !!!",ATN000389,ATN000389,5.0,552
551,"Сжим У 731М  (4-10/1,5-10) SE (140)",130300026_,U731M,140.0,553
552,"Сжим У 733M (16-35/1,5-10)  SE (140)",130300027_,U733M,140.0,554
553,Сжим У 734М (16-35/16-25) SE (140),130300028_,U734M,140.0,555
554,Соединитель коробок IMT35150/IMT351501 Systeme Electric (900),030200203_,IMT35180,900.0,556
